"is_challenger","match_id","game_length","placement","level","last_round","gold_left","n_legend","avg_unit_level","board_cost","match_avg_unit_level","match_avg_board_cost"
"Master/Grandmaster","NA1_4801266119",2262,"4","9",34,2,"1",1.77777777777778,56,1.88888888888889,52
"Master/Grandmaster","NA1_4801266119",2262,"1","8",40,1,"1",2,48,1.88888888888889,52
"Master/Grandmaster","NA1_4801267991",2167,"4","8",35,7,"1",1.55555555555556,50,1.84712301587302,47.5
"Master/Grandmaster","NA1_4801267991",2167,"1","9",37,1,"0",1.6,51,1.84712301587302,47.5
"Challenger","NA1_4801267991",2167,"3","8",35,0,"1",1.875,39,1.84712301587302,47.5
"Challenger","NA1_4801270510",2065,"7","8",28,2,"0",1.66666666666667,43,1.82361111111111,48.125
"Master/Grandmaster","NA1_4801270510",2065,"2","8",37,1,"1",1.75,51,1.82361111111111,48.125
"Challenger","NA1_4801270510",2065,"5","8",31,6,"0",1.7,66,1.82361111111111,48.125
"Challenger","NA1_4801274640",2040,"3","8",32,18,"0",1.75,48,1.80416666666667,41.25
"Master/Grandmaster","NA1_4801274640",2040,"1","8",35,1,"0",1.6,45,1.80416666666667,41.25
"Challenger","NA1_4801274640",2040,"6","7",28,0,"1",2,37,1.80416666666667,41.25
"Master/Grandmaster","NA1_4801277188",2141,"3","9",34,11,"1",1.8,57,2.005,46.4
"Master/Grandmaster","NA1_4801277188",2141,"6","7",28,2,"0",1.875,43,2.005,46.4
"Master/Grandmaster","NA1_4801277188",2141,"5","6",28,0,"1",2,19,2.005,46.4
"Master/Grandmaster","NA1_4801277497",2113,"7","6",23,1,"1",1.83333333333333,22,1.82685185185185,41.8333333333333
"Master/Grandmaster","NA1_4801277497",2113,"3","8",35,1,"0",2.25,29,1.82685185185185,41.8333333333333
"Master/Grandmaster","NA1_4801277497",2113,"8","5",17,15,"1",1.6,20,1.82685185185185,41.8333333333333
"Master/Grandmaster","NA1_4801277736",2038,"7","6",25,37,"3",2,26,1.86190476190476,40.875
"Master/Grandmaster","NA1_4801277736",2038,"2","8",37,1,"3",2.125,52,1.86190476190476,40.875
"Master/Grandmaster","NA1_4801277736",2038,"5","7",31,23,"3",1.85714285714286,37,1.86190476190476,40.875
"Master/Grandmaster","NA1_4801282971",2291,"8","7",27,9,"0",2.14285714285714,32,2.02901785714286,46.25
"Master/Grandmaster","NA1_4801282971",2291,"6","8",30,0,"0",1.8,67,2.02901785714286,46.25
"Master/Grandmaster","NA1_4801282971",2291,"7","7",28,2,"0",2,35,2.02901785714286,46.25
"Challenger","NA1_4801283832",2352,"3","9",40,1,"1",1.63636363636364,69,1.81977362914863,44.875
"Master/Grandmaster","NA1_4801283832",2352,"1","9",42,1,"1",1.66666666666667,52,1.81977362914863,44.875
"Master/Grandmaster","NA1_4801283832",2352,"5","8",34,51,"0",1.55555555555556,43,1.81977362914863,44.875
"Challenger","NA1_4801284220",2204,"4","9",31,0,"0",1.6,44,1.82425595238095,43.875
"Master/Grandmaster","NA1_4801284220",2204,"6","7",26,41,"0",1.71428571428571,39,1.82425595238095,43.875
"Challenger","NA1_4801284220",2204,"2","8",39,8,"1",2.5,52,1.82425595238095,43.875
"Challenger","NA1_4801290630",1921,"5","8",30,2,"1",1.66666666666667,46,1.8984126984127,44.75
"Challenger","NA1_4801290630",1921,"1","8",35,2,"0",2.1,79,1.8984126984127,44.75
"Challenger","NA1_4801290630",1921,"3","9",33,4,"0",1.77777777777778,49,1.8984126984127,44.75
"Master/Grandmaster","NA1_4801292728",2295,"5","8",31,1,"1",1.625,46,1.66964285714286,36.5
"Master/Grandmaster","NA1_4801292728",2295,"7","7",26,0,"1",1.71428571428571,27,1.66964285714286,36.5
"Challenger","NA1_4801293045",2167,"6","8",31,4,"0",2,43,2.10267857142857,43.75
"Challenger","NA1_4801293045",2167,"3","8",35,6,"0",2.125,49,2.10267857142857,43.75
"Challenger","NA1_4801293045",2167,"1","7",37,1,"0",2.71428571428571,62,2.10267857142857,43.75
"Challenger","NA1_4801293877",2202,"1","8",40,2,"0",2.25,46,1.8984126984127,40.25
"Challenger","NA1_4801293877",2202,"2","9",40,8,"0",2.11111111111111,54,1.8984126984127,40.25
"Challenger","NA1_4801293877",2202,"7","7",30,2,"1",2.14285714285714,29,1.8984126984127,40.25
"Challenger","NA1_4801296652",2138,"6","7",30,1,"1",1.625,30,1.93452380952381,40.5
"Master/Grandmaster","NA1_4801296652",2138,"2","8",37,6,"0",2.22222222222222,54,1.93452380952381,40.5
"Challenger","NA1_4801296652",2138,"8","8",27,10,"1",1.625,39,1.93452380952381,40.5
"Master/Grandmaster","NA1_4801298168",2101,"5","8",34,1,"1",1.66666666666667,47,1.81269841269841,44.8
